Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
03 Oct 2025,05 Oct 2025,BLUE RIVER HUSKY TC ESS BLUE RIVER,6.81,,,,,BLUE RIVER HUSKY TC ESS BLUE RIVER,"778 HWY
5","BLUE RIVER
BC",V0E 1J0,CANADA,'AT252780006000010756169'
03 Oct 2025,04 Oct 2025,EASYPARK HO             VANCOUVER,82.00,,,,,EASYPARK HO             VANCOUVER,"700 PENDER ST WEST
SUITE 209","VANCOUVER
BC",V6C 1G8,CANADA,'AT252770006000010741881'
03 Oct 2025,04 Oct 2025,SUBWAY 66409            VALEMOUNT,11.43,,,,,SUBWAY 66409            VALEMOUNT,805 CRANBERRY LAKE RD SHELL GASC-STORE,"VALEMOUNT
BC",V0E 2Z0,CANADA,'AT252770006000010690465'
03 Oct 2025,04 Oct 2025,SUBWAY 66409            VALEMOUNT,27.07,,,,,SUBWAY 66409            VALEMOUNT,805 CRANBERRY LAKE RD SHELL GASC-STORE,"VALEMOUNT
BC",V0E 2Z0,CANADA,'AT252770006000010690464'
02 Oct 2025,02 Oct 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT252750006000010639083'
02 Oct 2025,03 Oct 2025,GREEK ISLANDS RESTAURAN ABBOTSFORD,115.23,,,,,GREEK ISLANDS RESTAURAN ABBOTSFORD,"2686 LANGDON ST
SUITE 3","ABBOTSFORD
BC",V2T 3L2,CANADA,'AT252760006000010624361'
02 Oct 2025,02 Oct 2025,HOTELCOM73260734051836  CA.HOTELS.COM,434.34,,,,"ARRIVAL             DEPARTURE           NIGHTS
10/02/25            10/03/25",HOTELCOM73260734051836  CA.HOTELS.COM,"SUITE 610
410 ADELAIDE STREET WEST","TORONTO
ON",M5V 3C9,CANADA,'AT252750006000010668560'
02 Oct 2025,04 Oct 2025,MCDONALD'S #8078   Q04  VANCOUVER,6.08,,,,,MCDONALD'S #8078   Q04  VANCOUVER,1527 MAIN ST,"VANCOUVER
BC",V6A 2W5,CANADA,'AT252770006000010730972'
02 Oct 2025,03 Oct 2025,SUBWAY 68824            CLEARWATER,11.54,,,,,SUBWAY 68824            CLEARWATER,"365 MURTLE CRES
UNIT 213","CLEARWATER
BC",V0E 1N1,CANADA,'AT252760006000010670133'
01 Oct 2025,02 Oct 2025,AMZN MKTP CA*NJ5I86RU1  866-216-1072,101.69,,,,,AMZN MKTP CA*NJ5I86RU1  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252750006000010645356'
01 Oct 2025,02 Oct 2025,"PARKWHIZ, INC.          TORONTO",8.44,,,,,"PARKWHIZ, INC.          TORONTO",333 2400 BAY STREETSUITE,"TORONTO
ON",M5H 2T6,CANADA,'AT252750006000010675621'
01 Oct 2025,02 Oct 2025,PHO QUYNH EXPRESS 002   VANCOUVER,28.75,,,,,PHO QUYNH EXPRESS 002   VANCOUVER,89 2ND AVE,"VANCOUVER
BC",V5Y 1B3,CANADA,'AT252750006000010639355'
30 Sep 2025,30 Sep 2025,CHAI WAGON              Vancouver,21.42,,,,,CHAI WAGON              Vancouver,196 2ND AVENUE EAST,"VANCOUVER
BC",V5T 1B5,CANADA,'AT252730006000010605981'
30 Sep 2025,01 Oct 2025,KFC #1824 KFC #1824     VANCOUVER,30.34,,,,,KFC #1824 KFC #1824     VANCOUVER,975 EAST BROADWAY,"VANCOUVER
BC",V5T 1X8,CANADA,'AT252740006000010662776'
30 Sep 2025,01 Oct 2025,MOBI BY ROGERS          VANCOUVER,23.33,,,,,MOBI BY ROGERS          VANCOUVER,1383 VENABLES ST,"VANCOUVER
BC",V5L 2G1,CANADA,'AT252740006000010655476'
30 Sep 2025,02 Oct 2025,SHELL C01213            VANCOUVER,4.17,,,,,SHELL C01213            VANCOUVER,"400 4TH AVE SOUTHWEST RM
SC 24","CALGARY
AB",T2P 2H5,CANADA,'AT252750006000010655365'
29 Sep 2025,29 Sep 2025,HOTEL ON BOOKING.COM    AMSTERDAM,610.46,,,,,HOTEL ON BOOKING.COM    AMSTERDAM,"HERENGRACHT
597","AMSTERDAM
NH",1017 CE,NETHERLANDS,'AT252720006000011085052'
29 Sep 2025,30 Sep 2025,JOHNNYS ON OAK 00-08044 VANCOUVER,29.36,,,,,JOHNNYS ON OAK 00-08044 VANCOUVER,3838 OAK ST,"VANCOUVER
BC",V6H 2M5,CANADA,'AT252730006000010622784'
29 Sep 2025,01 Oct 2025,SHOPPERS DRUG MART #020 VANCOUVER,15.21,,,,,SHOPPERS DRUG MART #020 VANCOUVER,370 EAST BROADWAY,"VANCOUVER
BC",V5T 4G5,CANADA,'AT252740006000010646225'
28 Sep 2025,30 Sep 2025,7-ELEVEN STORE #33036 D VANCOUVER,20.27,,,,,7-ELEVEN STORE #33036 D VANCOUVER,1055 DENMAN ST,"VANCOUVER
BC",V6G 2M4,CANADA,'AT252730006000010627120'
28 Sep 2025,30 Sep 2025,BLENZ ON ROBSON & CARDE VANCOUVER,8.40,,,,,BLENZ ON ROBSON & CARDE VANCOUVER,1615 ROBSON ST,"VANCOUVER
BC",V6G 1C8,CANADA,'AT252730006000010619105'
28 Sep 2025,29 Sep 2025,CAPILANO SUS BR GATE    NORTH VANCOUV,245.70,,,,,CAPILANO SUS BR GATE    NORTH VANCOUV,3735 CAPILANO RD,"NORTH VANCOUVER
BC",V7R 4J1,CANADA,'AT252720006000011020792'
28 Sep 2025,29 Sep 2025,JO-E BIKES & SKIS 41201 VANCOUVER,117.81,,,,,JO-E BIKES & SKIS 41201 VANCOUVER,768 DENMAN ST,"VANCOUVER
BC",V6G 2L5,CANADA,'AT252720006000011036600'
28 Sep 2025,28 Sep 2025,PAYMENT RECEIVED - THANK YOU,-1770.45,,,,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000010927999865830'
27 Sep 2025,27 Sep 2025,JJ BEAN COFFEE ROASTERS Coquitlam,20.26,,,,,JJ BEAN COFFEE ROASTERS Coquitlam,940,"COQUITLAM
BC",V3B 6S2,CANADA,'AT252700006000010597097'
27 Sep 2025,27 Sep 2025,PRAGUERY CAFE & ICE CRE Coquitlam,3.94,,,,,PRAGUERY CAFE & ICE CRE Coquitlam,1207 PINETREE WAY,"COQUITLAM
BC",V3B 2P7,CANADA,'AT252700006000010608698'
26 Sep 2025,29 Sep 2025,SHELL C01213            VANCOUVER,9.18,,,,,SHELL C01213            VANCOUVER,"400 4TH AVE SOUTHWEST RM
SC 24","CALGARY
AB",T2P 2H5,CANADA,'AT252720006000011055445'
25 Sep 2025,26 Sep 2025,7101117 - FRESHII T3 (F MISSISSAUGA,10.27,,,,,7101117 - FRESHII T3 (F MISSISSAUGA,6301 SILVER DART DR,"MISSISSAGUA
ON",L5P 1B2,CANADA,'AT252690005000010539997'
25 Sep 2025,26 Sep 2025,AUDIBLE CA*A910771X3    AMZN.COM/BILL,10.49,,,,,AUDIBLE CA*A910771X3    AMZN.COM/BILL,1 WASHINGTON PARK STE 1600,"NEWARK
NJ",07102,UNITED STATES,'AT252690005000010522796'
25 Sep 2025,26 Sep 2025,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68,,,,,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT252690005000010563789'
25 Sep 2025,26 Sep 2025,LS TRAVEL RETAIL NORTH  OTTAWA,5.53,,,,,LS TRAVEL RETAIL NORTH  OTTAWA,6301 SILVER DART DR,"MISSISSAUGA
ON",L5P 1B2,CANADA,'AT252690005000010548052'
25 Sep 2025,29 Sep 2025,SHELL C01213            VANCOUVER,3.74,,,,,SHELL C01213            VANCOUVER,"400 4TH AVE SOUTHWEST RM
SC 24","CALGARY
AB",T2P 2H5,CANADA,'AT252720006000011074750'
25 Sep 2025,26 Sep 2025,TOR 7059 Vino Volo      Mississauga,28.00,,,,,TOR 7059 Vino Volo      Mississauga,6301 SILVER DART DR,"MISSISSAUGA
ON",L5P 1B2,CANADA,'AT252690005000010534265'
24 Sep 2025,24 Sep 2025,2403384 ONTARIO LIMITED CALEDON,13.21,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT252670006000010606973'
23 Sep 2025,23 Sep 2025,Brant - Montfort Medite Burlington,37.32,,,,,Brant - Montfort Medite Burlington,796 BRANT ST,"BURLINGTON
ON",L7R 2J2,CANADA,'AT252660006000010597328'
23 Sep 2025,24 Sep 2025,HOLY COW STEAK HOUSE 00 TORONTO,24.68,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT252670006000010587351'
22 Sep 2025,22 Sep 2025,AMAZON.CA*QW6S37TB3     866-216-1072,24.80,,,,,AMAZON.CA*QW6S37TB3     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252650006000010658788'
22 Sep 2025,24 Sep 2025,GOOGLE *FITBIT          G.CO/HELPPAY#,14.68,,,,,GOOGLE *FITBIT          G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT252670006000010631697'
22 Sep 2025,23 Sep 2025,NOODLEBOX               BRANTFORD,23.05,,,,,NOODLEBOX               BRANTFORD,"181 LYNDEN RD
UNIT C1 A","BRANTFORD
ON",N3R 8A7,CANADA,'AT252660006000010588372'
22 Sep 2025,24 Sep 2025,RABBA FINE FOODS #171   TORONTO,4.99,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252670006000010632727'
22 Sep 2025,23 Sep 2025,RABBA FINE FOODS #171   TORONTO,5.14,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252660006000010590013'
22 Sep 2025,23 Sep 2025,THE HOME DEPOT #7138    BRANTFORD,179.21,,,,,THE HOME DEPOT #7138    BRANTFORD,25 HOLIDAY DR,"BRANTFORD
ON",N3R 7J4,CANADA,'AT252660006000010573537'
21 Sep 2025,22 Sep 2025,APPLE.COM/BILL          TORONTO,19.20,,,,,APPLE.COM/BILL          TORONTO,120 BREMNER BLVD,"TORONTO
ON",M5J 0A8,CANADA,'AT252650006000010612710'
21 Sep 2025,23 Sep 2025,GOOGLE *COFFEE MEETS B  G.CO/HELPPAY#,248.59,,,,,GOOGLE *COFFEE MEETS B  G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT252660006000010571440'
21 Sep 2025,22 Sep 2025,SWISS CHALET 1958       SIMCOE,41.75,,,,,SWISS CHALET 1958       SIMCOE,"101 QUEENSWAY
EAST","SIMCOE
ON",N3Y 4M5,CANADA,'AT252650006000010631076'
20 Sep 2025,21 Sep 2025,PETRO-CANADA 00829      TORONTO,62.98,,,,,PETRO-CANADA 00829      TORONTO,1750 BLOOR ST WEST,"TORONTO
ON",M6P 1B3,CANADA,'AT252640006000010731561'
20 Sep 2025,22 Sep 2025,SHOPPERS DRUG MART #115 SIMCOE,45.54,,,,,SHOPPERS DRUG MART #115 SIMCOE,"470 NORFOLK ST
NORTH","SIMCOE
ON",N3Y 3P7,CANADA,'AT252650006000010622797'
20 Sep 2025,21 Sep 2025,TIM HORTONS #3143       TORONTO,6.32,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252640006000010772556'
20 Sep 2025,21 Sep 2025,TST-WHEN THE PIG CAME   TORONTO,22.15,,,,,TST-WHEN THE PIG CAME   TORONTO,384 KEELE ST,"TORONTO
ON",M6P 2K8,CANADA,'AT252640006000010741442'
19 Sep 2025,19 Sep 2025,2403384 ONTARIO LIMITED CALEDON,15.64,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT252620006000010676711'
19 Sep 2025,19 Sep 2025,APPLE.COM/BILL          TORONTO,4.51,,,,,APPLE.COM/BILL          TORONTO,120 BREMNER BLVD,"TORONTO
ON",M5J 0A8,CANADA,'AT252620006000010623193'
19 Sep 2025,19 Sep 2025,FELIX HEALTH INC.       TORONTO,307.81,,,,,FELIX HEALTH INC.       TORONTO,80 MITCHELL AVE,"TORONTO
ON",M6J 1C1,CANADA,'AT252620006000010650882'
19 Sep 2025,20 Sep 2025,RABBA FINE FOODS #171   TORONTO,9.98,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252630006000010715097'
18 Sep 2025,19 Sep 2025,AMZN MKTP CA*1I8EJ46P3  866-216-1072,31.63,,,,,AMZN MKTP CA*1I8EJ46P3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252620006000010639573'
18 Sep 2025,19 Sep 2025,AMZN MKTP CA*IL3YU7YH3  866-216-1072,21.46,,,,,AMZN MKTP CA*IL3YU7YH3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252620006000010621905'
18 Sep 2025,18 Sep 2025,AMZN MKTP CA*W27EG4TM3  866-216-1072,60.29,,,,,AMZN MKTP CA*W27EG4TM3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252610006000010635631'
18 Sep 2025,19 Sep 2025,RABBA FINE FOODS #171   TORONTO,4.57,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252620006000010640158'
17 Sep 2025,18 Sep 2025,AMZN MKTP CA*0J7E53733  866-216-1072,44.62,,,,,AMZN MKTP CA*0J7E53733  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252610006000010603339'
17 Sep 2025,18 Sep 2025,AMZN MKTP CA*NS8IN1E60  866-216-1072,10.48,,,,,AMZN MKTP CA*NS8IN1E60  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252610006000010613263'
17 Sep 2025,18 Sep 2025,DHL EXPRESS ADC QC      905-861-3540,80.59,,,,,DHL EXPRESS ADC QC      905-861-3540,18 PARKSHORE DR,"BRAMPTON
ON",L6T 5M1,CANADA,'AT252610006000010655809'
17 Sep 2025,18 Sep 2025,HOLY COW STEAK HOUSE 00 TORONTO,24.68,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT252610006000010614469'
17 Sep 2025,17 Sep 2025,NETFLIX.COM             866-716-0414,9.03,,,,,NETFLIX.COM             866-716-0414,"1200 WATERFRONT CTR
200 BURRARD ST","VANCOUER
BC",V7X 1T2,CANADA,'AT252600006000010606456'
17 Sep 2025,18 Sep 2025,TIM HORTONS #3143       TORONTO,2.93,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252610006000010655274'
16 Sep 2025,17 Sep 2025,ADAFRUIT ELECTRONICS    BROOKLYN,517.59,366.45 USD,,1.41244,,ADAFRUIT ELECTRONICS    BROOKLYN,"168 39TH ST
STE 1905CC","BROOKLYN
NY",11232,UNITED STATES,'AT252600006000010616451'
16 Sep 2025,18 Sep 2025,FELIX HEALTH INC.       TORONTO,40.00,,,,,FELIX HEALTH INC.       TORONTO,80 MITCHELL AVE,"TORONTO
ON",M6J 1C1,CANADA,'AT252610006000010650040'
16 Sep 2025,16 Sep 2025,SP RACKETS & RUNNERS    VANCOUVER,305.08,,,,,SP RACKETS & RUNNERS    VANCOUVER,3880 OAK ST,"VANCOUVER
BC",V6H 2M5,CANADA,'AT252590006000010601708'
15 Sep 2025,15 Sep 2025,Brant - Montfort Medite Burlington,37.32,,,,,Brant - Montfort Medite Burlington,796 BRANT ST,"BURLINGTON
ON",L7R 2J2,CANADA,'AT252580006000010655044'
15 Sep 2025,16 Sep 2025,HOLY COW STEAK HOUSE 00 TORONTO,20.78,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT252590006000010609069'
15 Sep 2025,16 Sep 2025,LALA SPICY LAB DOWNTOWN TORONTO,34.15,,,,,LALA SPICY LAB DOWNTOWN TORONTO,181 COLLEGE ST,"TORONTO
ON",M5T 1P7,CANADA,'AT252590006000010614163'
15 Sep 2025,16 Sep 2025,RABBA FINE FOODS #171   TORONTO,5.25,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252590006000010600745'
14 Sep 2025,14 Sep 2025,AIRBNB * HM3ZX8BNM4     LONDON,2900.45,,,,,AIRBNB * HM3ZX8BNM4     LONDON,20-22 BEDFORD ROW,"LONDON
ENG",WC1R 4JS,UNITED KINGDOM OF GB AND NI,'AT252570006000010760807'
14 Sep 2025,15 Sep 2025,THE HOME DEPOT #7138    BRANTFORD,235.86,,,,,THE HOME DEPOT #7138    BRANTFORD,25 HOLIDAY DR,"BRANTFORD
ON",N3R 7J4,CANADA,'AT252580006000010639866'
14 Sep 2025,15 Sep 2025,TIM HORTONS #3264       WATERFORD,11.29,,,,,TIM HORTONS #3264       WATERFORD,"328 MAIN ST
S","WATERFORD
ON",N0E 1Y0,CANADA,'AT252580006000010658052'
13 Sep 2025,14 Sep 2025,AMZN MKTP CA*Z91D21KH3  866-216-1072,71.91,,,,,AMZN MKTP CA*Z91D21KH3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252570006000010716125'
13 Sep 2025,14 Sep 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,31.64,,,,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,548 MARKET ST,"SAN FRANCISCO
CA",94107,UNITED STATES,'AT252570006000010738017'
13 Sep 2025,15 Sep 2025,FOODLAND #3421 WATERFOR WATERFORD,50.11,,,,,FOODLAND #3421 WATERFOR WATERFORD,792 OLD HWY 24 S WATERFORD PL,"WATERFORD
ON",N0E 1Y0,CANADA,'AT252580006000010631234'
13 Sep 2025,14 Sep 2025,KFC # 1328 KFC # 1328   ETOBICOKE,30.25,,,,,KFC # 1328 KFC # 1328   ETOBICOKE,156 THE QUEENSWAY,"ETOBICOKE
ON",M8Y 1J2,CANADA,'AT252570006000010741195'
13 Sep 2025,14 Sep 2025,SECURITY NATIONAL INSU  MONTREAL,169.78,,,,,SECURITY NATIONAL INSU  MONTREAL,"50 PL CREMAZIE
12TH FLOOR","MONTREAL
QC",H2P 1B6,CANADA,'AT252570006000010718507'
13 Sep 2025,14 Sep 2025,TIM HORTONS #3143       TORONTO,2.40,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252570006000010720781'
12 Sep 2025,13 Sep 2025,*RFBT-223 QUEEN STREET  TORONTO,9.59,,,,,*RFBT-223 QUEEN STREET  TORONTO,223 QUEEN ST WEST,"TORONTO
ON",M5V 1Z4,CANADA,'AT252560006000010704801'
12 Sep 2025,12 Sep 2025,2403384 ONTARIO LIMITED CALEDON,19.31,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT252550006000010630166'
12 Sep 2025,12 Sep 2025,AMZN MKTP CA*9O70W3QJ3  866-216-1072,23.28,,,,,AMZN MKTP CA*9O70W3QJ3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252550006000010631073'
12 Sep 2025,13 Sep 2025,AMZN MKTP CA*JF5CF73G3  866-216-1072,75.68,,,,,AMZN MKTP CA*JF5CF73G3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252560006000010689686'
12 Sep 2025,13 Sep 2025,AMZN MKTP CA*PH3YX2ZG3  866-216-1072,15.81,,,,,AMZN MKTP CA*PH3YX2ZG3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252560006000010676336'
12 Sep 2025,13 Sep 2025,AMZN MKTP CA*RK98K6MR3  866-216-1072,156.78,,,,,AMZN MKTP CA*RK98K6MR3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252560006000010675419'
12 Sep 2025,13 Sep 2025,DOORDASHYOUDONYA        DOWNTOWN TORONT,42.93,,,,,DOORDASHYOUDONYA        DOWNTOWN TORONT,"1055 DUNSMUIR ST
SUITE 3000","VANCOUVER
BC",V7X 1K8,CANADA,'AT252560006000010673360'
12 Sep 2025,12 Sep 2025,GOOGLE *THE WALL STREE  G.CO/HELPPAY#,48.50,,,,,GOOGLE *THE WALL STREE  G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT252550006000010631082'
12 Sep 2025,13 Sep 2025,TIM HORTONS #3143       TORONTO,2.40,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252560006000010703831'
11 Sep 2025,12 Sep 2025,HOLY COW STEAK HOUSE 00 TORONTO,24.68,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT252550006000010641299'
11 Sep 2025,12 Sep 2025,MR. GREEK #107          NORTH YORK,25.98,,,,,MR. GREEK #107          NORTH YORK,861 YORK MILLS RD,"NORTH YORK
ON",M3B 1Y2,CANADA,'AT252550006000010654457'
10 Sep 2025,11 Sep 2025,AMZN MKTP CA*3R9IH4J23  866-216-1072,26.54,,,,,AMZN MKTP CA*3R9IH4J23  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252540005000010582931'
10 Sep 2025,11 Sep 2025,AMZN MKTP CA*KJ5280E73  866-216-1072,22.59,,,,,AMZN MKTP CA*KJ5280E73  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252540005000010583352'
10 Sep 2025,10 Sep 2025,"CURSOR, AI POWERED IDE  NEW YORK",28.36,20.00 USD,,1.418,,"CURSOR, AI POWERED IDE  NEW YORK","2261 MARKET ST
STE 86466","SAN FRANCISCO
CA",94114,UNITED STATES,'AT252530006000010647212'
10 Sep 2025,11 Sep 2025,REXALL PHARMACY #8141 T TORONTO,20.45,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT252540005000010588069'
10 Sep 2025,11 Sep 2025,TIM HORTONS #3143       TORONTO,6.32,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252540005000010623641'
10 Sep 2025,11 Sep 2025,UNCLE TETSU CANADA 2080 TORONTO,3.33,,,,,UNCLE TETSU CANADA 2080 TORONTO,595 BAY ST,"TORONTO
ON",M5G 2C2,CANADA,'AT252540005000010617720'
09 Sep 2025,10 Sep 2025,AMAZON.CA*MV20P83H3     866-216-1072,168.96,,,,,AMAZON.CA*MV20P83H3     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252530006000010630233'
09 Sep 2025,10 Sep 2025,MICHELS BAKERY CAFE     TORONTO,3.83,,,,,MICHELS BAKERY CAFE     TORONTO,"100 KING ST WEST
UNIT","TORONTO
ON",M5X 1A9,CANADA,'AT252530006000010627210'
09 Sep 2025,10 Sep 2025,SOUVLAKI PLACE 001      TORONTO,16.94,,,,,SOUVLAKI PLACE 001      TORONTO,495 BLOOR ST WEST,"TORONTO
ON",M5S 1Y2,CANADA,'AT252530006000010638610'
09 Sep 2025,10 Sep 2025,TST-JIMMY THE GREEK -   TORONTO,22.86,,,,,TST-JIMMY THE GREEK -   TORONTO,100 KING ST KING ST WEST,"TORONTO
ON",M5X 1E1,CANADA,'AT252530006000010613828'
08 Sep 2025,09 Sep 2025,AMAZON.CA*DM1MR5Y93     866-216-1072,101.67,,,,,AMAZON.CA*DM1MR5Y93     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252520006000010590456'
08 Sep 2025,10 Sep 2025,AMAZON.CA*IV3H28V03     866-216-1072,106.21,,,,,AMAZON.CA*IV3H28V03     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252530006000010610377'
08 Sep 2025,09 Sep 2025,AMZN MKTP CA*JT0W964P3  866-216-1072,150.25,,,,,AMZN MKTP CA*JT0W964P3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252520006000010616128'
