Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Dec 2025,07 Dec 2025,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50,,,,,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT253410006000010781881'
07 Dec 2025,07 Dec 2025,MEMBERSHIP FEE INSTALLMENT,15.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999856950'
07 Dec 2025,07 Dec 2025,THE TRAINING STATION    Simcoe,1.13,,,,,THE TRAINING STATION    Simcoe,"129 QUEENSWAY
EAST","SIMCOE
ON",N3Y 5M7,CANADA,'AT253410006000010776760'
06 Dec 2025,07 Dec 2025,AMZN MKTP CA*BI2F865B0  866-216-1072,18.63,,,,,AMZN MKTP CA*BI2F865B0  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253410006000010766709'
05 Dec 2025,06 Dec 2025,AMZN MKTP CA*BI0XR0PP0  866-216-1072,18.07,,,,,AMZN MKTP CA*BI0XR0PP0  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253400006000010785236'
05 Dec 2025,06 Dec 2025,AMZN MKTP CA*BI6KR71J0  866-216-1072,19.20,,,,,AMZN MKTP CA*BI6KR71J0  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253400006000010735701'
05 Dec 2025,07 Dec 2025,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50,,,,,GOOGLE *CHATGPT         G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT253410006000010816604'
04 Dec 2025,05 Dec 2025,AMAZON.CA*BI5RB2SI2     866-216-1072,35.00,,,,,AMAZON.CA*BI5RB2SI2     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT253390006000010694017'
04 Dec 2025,05 Dec 2025,AMAZON.CA*BI8K30LX0     866-216-1072,158.15,,,,,AMAZON.CA*BI8K30LX0     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT253390006000010693512'
04 Dec 2025,05 Dec 2025,AMZN MKTP CA*BI1FJ6NL0  866-216-1072,32.75,,,,,AMZN MKTP CA*BI1FJ6NL0  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253390006000010680591'
04 Dec 2025,04 Dec 2025,AMZN MKTP CA*BI7QC3872  866-216-1072,54.23,,,,,AMZN MKTP CA*BI7QC3872  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253380006000010689319'
04 Dec 2025,05 Dec 2025,AMZN MKTP CA*BI8G91KC2  866-216-1072,20.20,,,,,AMZN MKTP CA*BI8G91KC2  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253390006000010680613'
04 Dec 2025,05 Dec 2025,BELL CANADA (OB)        MONTREAL,197.69,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT253390006000010689915'
03 Dec 2025,04 Dec 2025,AMAZON.CA*BI9N67622     866-216-1072,124.29,,,,,AMAZON.CA*BI9N67622     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT253380006000010682531'
