Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Feb 2026,07 Feb 2026,MEMBERSHIP FEE INSTALLMENT,15.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999856970'
06 Feb 2026,07 Feb 2026,AMZN MKTP CA*B807U0SO3  866-216-1072,90.39,,,,,AMZN MKTP CA*B807U0SO3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260380006000010713244'
06 Feb 2026,06 Feb 2026,AMZN MKTP CA*EP6713F53  866-216-1072,40.67,,,,,AMZN MKTP CA*EP6713F53  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260370006000010648037'
06 Feb 2026,07 Feb 2026,AMZN MKTP CA*KX8316FY3  866-216-1072,30.05,,,,,AMZN MKTP CA*KX8316FY3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260380006000010704219'
06 Feb 2026,07 Feb 2026,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50,,,,,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT260380006000010682307'
06 Feb 2026,07 Feb 2026,HEY I AM YOGOST 001     TORONTO,11.87,,,,,HEY I AM YOGOST 001     TORONTO,674 YONGE ST,"TORONTO
ON",M4Y 2A6,CANADA,'AT260380006000010668191'
06 Feb 2026,07 Feb 2026,MUAY THAI SPORT BAR TOR TORONTO,29.89,,,,,MUAY THAI SPORT BAR TOR TORONTO,325 QUEEN ST WEST,"TORONTO
ON",M5V 2A4,CANADA,'AT260380006000010686793'
05 Feb 2026,06 Feb 2026,AMZN MKTP CA*O68B701F3  866-216-1072,57.98,,,,,AMZN MKTP CA*O68B701F3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260370006000010637917'
05 Feb 2026,07 Feb 2026,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50,,,,,GOOGLE *CHATGPT         G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT260380006000010704845'
05 Feb 2026,06 Feb 2026,Montfort Mediterranean  BURLINGTON,31.51,,,,,Montfort Mediterranean  BURLINGTON,796 BRANT ST,"BURLINGTON
ON",L7L 5Y6,CANADA,'AT260370006000010624123'
05 Feb 2026,06 Feb 2026,SCOTLAND ESSO           SCOTLAND,61.93,,,,,SCOTLAND ESSO           SCOTLAND,75 MAPLE GROVE RD,"SCOTLAND
ON",N0E 1R0,CANADA,'AT260370006000010667349'
