Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Feb 2025,07 Feb 2025,2403384 ONTARIO LIMITED CALEDON,14.19,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT250380006000010493394'
07 Feb 2025,07 Feb 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876260'
06 Feb 2025,07 Feb 2025,TASTY CHINESE FOOD TORO TORONTO,14.22,,,,,TASTY CHINESE FOOD TORO TORONTO,15 109 MCCAUL ST,"TORONTO
ON",M5T 3K5,CANADA,'AT250380006000010484702'
04 Feb 2025,05 Feb 2025,CAMBRIDGE GROUP OF CL   416-363-9454,244.70,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT250360005000010476386'
03 Feb 2025,04 Feb 2025,BELL CANADA (OB)        MONTREAL,212.75,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT250350006000010474502'
02 Feb 2025,03 Feb 2025,AMZN MKTP CA*ZC4O16KM1  WWW.AMAZON.CA,57.85,,,,,AMZN MKTP CA*ZC4O16KM1  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT250340006000010460428'
29 Jan 2025,30 Jan 2025,=HOLYCOWSTEAKHOUSE 001  TORONTO,19.54,,,,,=HOLYCOWSTEAKHOUSE 001  TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT250300006000010456343'
29 Jan 2025,29 Jan 2025,AHC BROTHERS INC        TORONTO,29.84,,,,,AHC BROTHERS INC        TORONTO,106 MUTUAL ST,"TORONTO
ON",M5B 2R7,CANADA,'AT250290006000010439713'
29 Jan 2025,30 Jan 2025,AMZN MKTP CA*ZC6QI4ZM1  WWW.AMAZON.CA,360.47,,,,,AMZN MKTP CA*ZC6QI4ZM1  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT250300006000010448052'
29 Jan 2025,30 Jan 2025,GOOGLE *HEADSPACE INC   G.CO/HELPPAY#,101.69,,,,,GOOGLE *HEADSPACE INC   G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT250300006000010467913'
29 Jan 2025,29 Jan 2025,ROGERS ******0136       888-764-3771,11.30,,,,,ROGERS ******0136       888-764-3771,"ATTN CASH DEPT 6TH
FLOOR 2235 SHEPPARD AVE E","TORONTO
ON",M2J 5G1,CANADA,'AT250290006000010468840'
