Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Mar 2025,07 Mar 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876270'
06 Mar 2025,07 Mar 2025,BELL CANADA (OB)        MONTREAL,176.22,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT250660005000010512711'
05 Mar 2025,06 Mar 2025,HOLY COW STEAK HOUSE 00 TORONTO,22.08,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT250650005000010485297'
04 Mar 2025,04 Mar 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT250630006000010501786'
04 Mar 2025,06 Mar 2025,GERMAN DONER KEBAB GERM TORONTO,25.32,,,,,GERMAN DONER KEBAB GERM TORONTO,246 QUEEN ST WEST,"TORONTO
ON",M5V 1Z7,CANADA,'AT250650005000010486168'
04 Mar 2025,05 Mar 2025,REXALL PHARMACY #8141 T TORONTO,17.50,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT250640006000010461564'
03 Mar 2025,04 Mar 2025,HOLY COW STEAK HOUSE 00 TORONTO,25.98,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT250630006000010479277'
02 Mar 2025,03 Mar 2025,CINEPLEX #7130          TORONTO,24.58,,,,,CINEPLEX #7130          TORONTO,1303 YONGE ST,"TORONTO
ON",M4T 2Y9,CANADA,'AT250620006000010505424'
02 Mar 2025,03 Mar 2025,PETRO-CANADA 59041      TORONTO,77.49,,,,,PETRO-CANADA 59041      TORONTO,117 JARVIS ST,"TORONTO
ON",M5C 2H6,CANADA,'AT250620006000010518539'
02 Mar 2025,03 Mar 2025,SOM TUM JINDA 001       TORONTO,37.34,,,,,SOM TUM JINDA 001       TORONTO,76 GERRARD EAST ST,"TORONTO
ON",M5B 1G6,CANADA,'AT250620006000010503398'
