Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Jul 2025,07 Jul 2025,2403384 ONTARIO LIMITED CALEDON,12.99,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT251880005000010607901'
07 Jul 2025,07 Jul 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876310'
06 Jul 2025,07 Jul 2025,*RFBT-FAIRVIEW MALL TOR TORONTO,11.29,,,,,*RFBT-FAIRVIEW MALL TOR TORONTO,"1800 2072B SHEPPARD AVE
EAST","TORONTO
ON",M2J 5A7,CANADA,'AT251880005000010614268'
06 Jul 2025,07 Jul 2025,Ichiban Asian All You C UNIONVILLE,38.97,,,,,Ichiban Asian All You C UNIONVILLE,"4261 HWY 7
EAST","MARKHAM
ON",L3R 9W6,CANADA,'AT251880005000010632109'
06 Jul 2025,06 Jul 2025,PAYMENT RECEIVED - THANK YOU,-4177.72,,,,,PAYMENT RECEIVED - THANK YOU,,,,,'AT251870003000010007655'
05 Jul 2025,06 Jul 2025,RABBA FINE FOODS #171   TORONTO,22.72,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT251870006000010714709'
04 Jul 2025,05 Jul 2025,BELL CANADA (OB)        MONTREAL,177.07,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT251860006000010663338'
04 Jul 2025,05 Jul 2025,DKC DIGI-KEY CORP       218-681-6674,756.83,,,,,DKC DIGI-KEY CORP       218-681-6674,701 BRKS AVE SOUTH,"THIEF RIVER FALLS
MN",56701,UNITED STATES,'AT251860006000010703930'
04 Jul 2025,05 Jul 2025,RABBA FINE FOODS #171   TORONTO,27.14,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT251860006000010686134'
03 Jul 2025,03 Jul 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT251840006000010663363'
02 Jul 2025,03 Jul 2025,ADAFRUIT ELECTRONICS    BROOKLYN,984.47,703.12 USD,,1.40015,,ADAFRUIT ELECTRONICS    BROOKLYN,"168 39TH ST
STE 1905CC","BROOKLYN
NY",11232,UNITED STATES,'AT251840006000010650281'
