Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Dec 2024,07 Dec 2024,APPLE.COM/CA            TORONTO,-620.37,,,,,APPLE.COM/CA            TORONTO,7495 BIRCHMOUNT RD,"MARKHAM
ON",L3R 5G2,CANADA,'AT243420006000010578659'
07 Dec 2024,07 Dec 2024,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,-11.06,,,,,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT243420006000010550734'
07 Dec 2024,07 Dec 2024,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876240'
07 Dec 2024,07 Dec 2024,TIL*PL RUSTY TACO DULL  STERLING,24.29,16.74 USD,,1.45102,,TIL*PL RUSTY TACO DULL  STERLING,1 SAARINEN CIR,"STERLING
VA",20166,UNITED STATES,'AT243420006000010569294'
06 Dec 2024,06 Dec 2024,AIRALO                  SINGAPORE,25.95,18.00 USD,,1.44167,,AIRALO                  SINGAPORE,79 ANSON ROAD,SINGAPORE,079906,SINGAPORE,'AT243410006000010534540'
06 Dec 2024,06 Dec 2024,AMZ*XB9GOXJTB IAD NONST EAST RUTHERFORD,5.81,4.03 USD,,1.44169,,AMZ*XB9GOXJTB IAD NONST EAST RUTHERFORD,410 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,'AT243410006000010523258'
06 Dec 2024,07 Dec 2024,APROPOS F61             MISSISSAUGA,31.84,,,,,APROPOS F61             MISSISSAUGA,6301 SILVER DART DR,"MISSISSAUGA
ON",L5P 1B2,CANADA,'AT243420006000010597904'
06 Dec 2024,06 Dec 2024,LULULEMON ATHLETICA B2C,-20.00,,,,lululemonOffer,LULULEMON ATHLETICA B2C,"1818 CORNWALL AVE
SUITE 4","VANCOUVER
BC",V6J 1C7,CANADA,'AT243410006000010487524'
06 Dec 2024,07 Dec 2024,UNITED AIRLINES         HOUSTON,29.01,19.99 USD,,1.45123,"ROUTING:    FROM:     WASHINGTON DULLES
TO:       TOKYO HANEDA APT  CARRIER:        UA  CLASS:          00
TICKET NUMBER:  01644548504955          PASSENGER NAME: JIAN      /WI-FI PANASON",UNITED AIRLINES         HOUSTON,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'AT243420006000010586186'
05 Dec 2024,06 Dec 2024,CAMBRIDGE GROUP ACCOU   416-363-9454,16.95,,,,,CAMBRIDGE GROUP ACCOU   416-363-9454,100 RICHMOND ST WEST,"416-363-9454
ON",M5H 3K6,CANADA,'AT243410006000010489175'
05 Dec 2024,06 Dec 2024,HOLY COW STEAK HOUSE 00 TORONTO,23.38,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT243410006000010509328'
05 Dec 2024,05 Dec 2024,PAYMENT RECEIVED - THANK YOU,-2864.35,,,,,PAYMENT RECEIVED - THANK YOU,,,,,'AT243400003000010005575'
