Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Sep 2025,07 Sep 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876330'
06 Sep 2025,07 Sep 2025,TACO BELL/KFC #6311 TAC TORONTO,24.26,,,,,TACO BELL/KFC #6311 TAC TORONTO,1610 THE QUEENSWAY,"ETOBICOKE
ON",M8Z 1V1,CANADA,'AT252500006000010760632'
05 Sep 2025,06 Sep 2025,*RFBT-TORONTO EATON CE  TORONTO,9.59,,,,,*RFBT-TORONTO EATON CE  TORONTO,220 YONGE ST,"TORONTO
ON",M5B 2H1,CANADA,'AT252490005000010692642'
05 Sep 2025,06 Sep 2025,AMZN MKTP CA*7968Q50E3  866-216-1072,49.71,,,,,AMZN MKTP CA*7968Q50E3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252490005000010684100'
05 Sep 2025,06 Sep 2025,CHIPOTLE 1236           TORONTO,20.62,,,,,CHIPOTLE 1236           TORONTO,"323 YONGE ST
UNIT 114","TORONTO
ON",M5B 1R7,CANADA,'AT252490005000010687929'
05 Sep 2025,06 Sep 2025,UNCLE TETSU CANADA 2080 TORONTO,4.46,,,,,UNCLE TETSU CANADA 2080 TORONTO,595 BAY ST,"TORONTO
ON",M5G 2C2,CANADA,'AT252490005000010717175'
04 Sep 2025,05 Sep 2025,BELL CANADA (OB)        MONTREAL,194.30,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT252480006000010668479'
04 Sep 2025,05 Sep 2025,MUAY THAI SPORT BAR TOR TORONTO,28.59,,,,,MUAY THAI SPORT BAR TOR TORONTO,325 QUEEN ST WEST,"TORONTO
ON",M5V 2A4,CANADA,'AT252480006000010629806'
03 Sep 2025,04 Sep 2025,AMAZON.CA*VU5I763T3     866-216-1072,338.99,,,,,AMAZON.CA*VU5I763T3     866-216-1072,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252470006000010649124'
03 Sep 2025,03 Sep 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT252460006000010654194'
03 Sep 2025,04 Sep 2025,HOLY COW STEAK HOUSE 00 TORONTO,23.38,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT252470006000010615737'
03 Sep 2025,04 Sep 2025,TIM HORTONS #3143       TORONTO,2.40,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252470006000010651135'
02 Sep 2025,02 Sep 2025,AMZN MKTP CA            866-216-1072,-40.67,,,,,AMZN MKTP CA            866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252450005000010620453'
02 Sep 2025,03 Sep 2025,AMZN MKTP CA*309JS4PX3  866-216-1072,63.83,,,,,AMZN MKTP CA*309JS4PX3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252460006000010685342'
02 Sep 2025,02 Sep 2025,AMZN MKTP CA*VM8BH0OA3  866-216-1072,71.18,,,,,AMZN MKTP CA*VM8BH0OA3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252450005000010641535'
02 Sep 2025,03 Sep 2025,AMZN MKTP CA*YZ8FY8WV3  866-216-1072,439.57,,,,,AMZN MKTP CA*YZ8FY8WV3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252460006000010658959'
02 Sep 2025,02 Sep 2025,JUICY DUMPLING          FORT ERIE,5.64,,,,,JUICY DUMPLING          FORT ERIE,3425 NIAGARA RIV PKWY,"FORT ERIE
ON",L0S 1S0,CANADA,'AT252450005000010622916'
02 Sep 2025,02 Sep 2025,PAYMENT RECEIVED - THANK YOU,-6048.43,,,,,PAYMENT RECEIVED - THANK YOU,,,,,'AT252450003000010014601'
02 Sep 2025,03 Sep 2025,RABBA FINE FOODS #171   TORONTO,7.35,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252460006000010655090'
02 Sep 2025,03 Sep 2025,TST-CHEFS HALL - TEMPU  TORONTO,28.14,,,,,TST-CHEFS HALL - TEMPU  TORONTO,111 RICHMOND ST WEST,"TORONTO
ON",M5H 2G4,CANADA,'AT252460006000010674576'
