Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Jan 2025,07 Jan 2025,2403384 ONTARIO LIMITED CALEDON,14.19,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT250070007000010452598'
07 Jan 2025,07 Jan 2025,COLUMBIA SPORTSWEAR CAN LONDON,157.06,,,,,COLUMBIA SPORTSWEAR CAN LONDON,1425 MAX BROSE DR,"LONDON
ON",N6N 0A2,CANADA,'AT250070007000010430158'
07 Jan 2025,07 Jan 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876250'
06 Jan 2025,07 Jan 2025,CAMBRIDGE GROUP ACCOU   416-363-9454,16.95,,,,,CAMBRIDGE GROUP ACCOU   416-363-9454,100 RICHMOND ST WEST,"416-363-9454
ON",M5H 3K6,CANADA,'AT250070007000010437051'
06 Jan 2025,07 Jan 2025,CAMBRIDGE GROUP ACCOU   416-363-9454,16.95,,,,,CAMBRIDGE GROUP ACCOU   416-363-9454,100 RICHMOND ST WEST,"416-363-9454
ON",M5H 3K6,CANADA,'AT250070007000010437050'
06 Jan 2025,07 Jan 2025,HOLY COW STEAK HOUSE 00 TORONTO,22.99,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT250070007000010459975'
06 Jan 2025,06 Jan 2025,LULULEMON 00768         TORONTO,-302.84,,,,,LULULEMON 00768         TORONTO,"UNIT UG31-UG32
486 FRONT ST W","TORONTO
ON",M5V 1B6,CANADA,'AT250060006000010470082'
05 Jan 2025,07 Jan 2025,PPL THE WELL PARKING    TORONTO,15.00,,,,,PPL THE WELL PARKING    TORONTO,444 FRONT ST WEST,"TORONTO
ON",M5V 2S9,CANADA,'AT250070007000010438294'
05 Jan 2025,06 Jan 2025,REXALL PHARMACY #8141 T TORONTO,20.33,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT250060006000010426301'
04 Jan 2025,05 Jan 2025,PETRO-CANADA 59041      TORONTO,79.49,,,,,PETRO-CANADA 59041      TORONTO,117 JARVIS ST,"TORONTO
ON",M5C 2H6,CANADA,'AT250050006000010503355'
03 Jan 2025,04 Jan 2025,BELL CANADA (OB)        MONTREAL,410.82,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT250040006000010502009'
03 Jan 2025,05 Jan 2025,CAMBRIDGE GROUP OF CL   416-363-9454,170.27,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT250050006000010496748'
03 Jan 2025,06 Jan 2025,CAMBRIDGE GROUP OF CL   416-363-9454,244.70,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT250060006000010451541'
03 Jan 2025,04 Jan 2025,TST-CHEFS HALL - TEMPU  TORONTO,21.00,,,,,TST-CHEFS HALL - TEMPU  TORONTO,111 RICHMOND ST WEST,"TORONTO
ON",M5H 2G4,CANADA,'AT250040006000010491583'
02 Jan 2025,03 Jan 2025,GYRO MAZDA 00-080432223 EAST YORK,1163.89,,,,,GYRO MAZDA 00-080432223 EAST YORK,139 LAIRD DR,"EAST YORK
ON",M4G 3V6,CANADA,'AT250030006000010509044'
02 Jan 2025,03 Jan 2025,MAD RADISH LEASIDE 2130 TORONTO,18.40,,,,,MAD RADISH LEASIDE 2130 TORONTO,"45 WICKSTEED AVE
UNIT B6","TORONTO
ON",M4G 4H9,CANADA,'AT250030006000010510061'
