Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 May 2025,07 May 2025,2403384 ONTARIO LIMITED CALEDON,16.49,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT251270006000010573852'
07 May 2025,07 May 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876290'
06 May 2025,07 May 2025,REXALL PHARMACY #8141 T TORONTO,51.96,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT251270006000010541561'
06 May 2025,07 May 2025,TIM HORTONS #3143       TORONTO,6.32,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT251270006000010575342'
05 May 2025,06 May 2025,AMAZON.CA*NB7UV1880     AMAZON.CA,18.01,,,,,AMAZON.CA*NB7UV1880     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT251260006000010523266'
04 May 2025,05 May 2025,THEATRE ARTIST          VANCOUVER,28.25,,,,,THEATRE ARTIST          VANCOUVER,40 MINTWOOD DR,"NORTH YORK
ON",M2M 3A7,CANADA,'AT251250006000010611087'
03 May 2025,04 May 2025,DOORDASHYOUDONYA        DOWNTOWN TORONT,42.93,,,,,DOORDASHYOUDONYA        DOWNTOWN TORONT,"1055 DUNSMUIR ST
SUITE 3000","VANCOUVER
BC",V7X 1K8,CANADA,'AT251240006000010694510'
03 May 2025,04 May 2025,SHOPPERS DRUG MART #14  TORONTO,20.62,,,,,SHOPPERS DRUG MART #14  TORONTO,260 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT251240006000010688157'
02 May 2025,03 May 2025,BELL CANADA (OB)        MONTREAL,234.98,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT251230006000010607474'
02 May 2025,03 May 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT251230006000010665596'
