Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Nov 2025,07 Nov 2025,MEMBERSHIP FEE INSTALLMENT,15.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999856940'
06 Nov 2025,07 Nov 2025,SUBWAY 14631            SIMCOE,18.63,,,,,SUBWAY 14631            SIMCOE,"8 QUEENSWAY
EAST","SIMCOE
ON",N3Y 4M3,CANADA,'AT253110006000010681014'
05 Nov 2025,07 Nov 2025,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50,,,,,GOOGLE *CHATGPT         G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT253110006000010644732'
05 Nov 2025,06 Nov 2025,MOBIL@  - 4155          SIMCOE,70.61,,,,,MOBIL@  - 4155          SIMCOE,"125 QUEENSWAY DR
EAST","SIMCOE
ON",N3Y 4M5,CANADA,'AT253100006000010600695'
04 Nov 2025,05 Nov 2025,AMZN MKTP CA*NK62G6YO1  866-216-1072,154.77,,,,,AMZN MKTP CA*NK62G6YO1  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253090006000010609562'
04 Nov 2025,04 Nov 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT253080006000010604684'
04 Nov 2025,06 Nov 2025,ULINE                   800-295-5510,368.71,,,,,ULINE                   800-295-5510,60 HEREFORD ST,"BRAMPTON
ON",L6Y 0N3,CANADA,'AT253100006000010652302'
03 Nov 2025,04 Nov 2025,BELL CANADA (OB)        MONTREAL,197.69,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT253080006000010646039'
03 Nov 2025,04 Nov 2025,HOLY COW STEAK HOUSE 00 TORONTO,24.68,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT253080006000010602600'
03 Nov 2025,04 Nov 2025,REXALL PHARMACY #8141 T TORONTO,245.98,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT253080006000010639247'
03 Nov 2025,04 Nov 2025,SP CASPER               BRAMPTON,-1391.53,,,,,SP CASPER               BRAMPTON,7920 AIRPORT RD,"BRAMPTON
ON",L6T 4L7,CANADA,'AT253080006000010630742'
03 Nov 2025,04 Nov 2025,THE HOME DEPOT #7011    ETOBICOKE,179.07,,,,,THE HOME DEPOT #7011    ETOBICOKE,193 NORTH QUEEN ST,"ETOBICOKE
ON",M9C 4Y1,CANADA,'AT253080006000010603798'
02 Nov 2025,03 Nov 2025,AMZN MKTP CA*NK2NW3S80  866-216-1072,124.29,,,,,AMZN MKTP CA*NK2NW3S80  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253070006000010650453'
02 Nov 2025,03 Nov 2025,AMZN MKTP CA*NK2YA8392  866-216-1072,168.37,,,,,AMZN MKTP CA*NK2YA8392  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253070006000010650797'
02 Nov 2025,03 Nov 2025,AMZN MKTP CA*NK3QH1N72  866-216-1072,12.42,,,,,AMZN MKTP CA*NK3QH1N72  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253070006000010648445'
02 Nov 2025,03 Nov 2025,AMZN MKTP CA*NK6229Z32  866-216-1072,97.70,,,,,AMZN MKTP CA*NK6229Z32  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253070006000010633511'
02 Nov 2025,03 Nov 2025,AMZN MKTP CA*NK77W1SD0  866-216-1072,119.77,,,,,AMZN MKTP CA*NK77W1SD0  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253070006000010650450'
02 Nov 2025,04 Nov 2025,GERMAN DONER KEBAB GERM TORONTO,22.02,,,,,GERMAN DONER KEBAB GERM TORONTO,246 QUEEN ST WEST,"TORONTO
ON",M5V 1Z7,CANADA,'AT253080006000010601678'
02 Nov 2025,03 Nov 2025,HEY I AM YOGOST 001     TORONTO,10.11,,,,,HEY I AM YOGOST 001     TORONTO,674 YONGE ST,"TORONTO
ON",M4Y 2A6,CANADA,'AT253070006000010631613'
02 Nov 2025,03 Nov 2025,REXALL PHARMACY #8141 T TORONTO,129.92,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT253070006000010646901'
02 Nov 2025,04 Nov 2025,SHOPPERS DRUG MART #141 TORONTO,7.10,,,,,SHOPPERS DRUG MART #141 TORONTO,260 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT253080006000010648521'
02 Nov 2025,04 Nov 2025,SHOPPERS DRUG MART 847  MARKHAM,77.94,,,,,SHOPPERS DRUG MART 847  MARKHAM,7060 WARDEN AVE BLDG C2,"MARKHAM
ON",L3R 5Y2,CANADA,'AT253080006000010648764'
31 Oct 2025,01 Nov 2025,AMZN MKTP CA*NK3VL30I1  866-216-1072,45.19,,,,,AMZN MKTP CA*NK3VL30I1  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253050006000010760434'
31 Oct 2025,02 Nov 2025,WENDY'S 112             SIMCOE,12.30,,,,,WENDY'S 112             SIMCOE,"413 NORFOLK ST
NORTH","SIMCOE
ON",N3Y 3P4,CANADA,'AT253060006000010806999'
30 Oct 2025,31 Oct 2025,AMZN MKTP CA*N46OU2S32  866-216-1072,168.37,,,,,AMZN MKTP CA*N46OU2S32  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253040006000010658844'
30 Oct 2025,31 Oct 2025,SWISS CHALET 1958       SIMCOE,25.31,,,,,SWISS CHALET 1958       SIMCOE,"101 QUEENSWAY
EAST","SIMCOE
ON",N3Y 4M5,CANADA,'AT253040006000010637243'
29 Oct 2025,30 Oct 2025,AMZN MKTP CA*NK3JM5OR1  866-216-1072,79.08,,,,,AMZN MKTP CA*NK3JM5OR1  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT253030006000010648291'
29 Oct 2025,04 Nov 2025,KFC # 1586 KFC # 1586   BRANTFORD,11.40,,,,,KFC # 1586 KFC # 1586   BRANTFORD,"218 HENRY ST BLDG
D","BRANTFORD
ON",N3S 0E3,CANADA,'AT253080006000010640407'
