Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Jun 2025,07 Jun 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876300'
06 Jun 2025,07 Jun 2025,AMZN MKTP CA*NH4WA1Q42  WWW.AMAZON.CA,45.19,,,,,AMZN MKTP CA*NH4WA1Q42  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT251580006000010648875'
06 Jun 2025,07 Jun 2025,AMZN MKTP CA*NH6VB38J2  WWW.AMAZON.CA,16.94,,,,,AMZN MKTP CA*NH6VB38J2  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT251580006000010654596'
06 Jun 2025,07 Jun 2025,CINEPLEX #7130          TORONTO,10.72,,,,,CINEPLEX #7130          TORONTO,1303 YONGE ST,"TORONTO
ON",M4T 2Y9,CANADA,'AT251580006000010634473'
06 Jun 2025,07 Jun 2025,CINEPLEX #8030 WEB QP   TORONTO,51.98,,,,,CINEPLEX #8030 WEB QP   TORONTO,1303 YONGE ST,"TORONTO
ON",M4T 2Y9,CANADA,'AT251580006000010655062'
06 Jun 2025,07 Jun 2025,HOLY COW STEAK HOUSE 00 TORONTO,22.08,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT251580006000010652014'
05 Jun 2025,05 Jun 2025,2403384 ONTARIO LIMITED CALEDON,13.55,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT251560006000010599742'
05 Jun 2025,06 Jun 2025,AMAZON.CA*NH4RU3XS2     AMAZON.CA,6.94,,,,,AMAZON.CA*NH4RU3XS2     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT251570006000010640500'
05 Jun 2025,06 Jun 2025,AMZN MKTP CA*N623H0UU1  WWW.AMAZON.CA,15.81,,,,,AMZN MKTP CA*N623H0UU1  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT251570006000010617463'
05 Jun 2025,06 Jun 2025,AMZN MKTP CA*NH0AE5V02  WWW.AMAZON.CA,45.19,,,,,AMZN MKTP CA*NH0AE5V02  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT251570006000010588725'
05 Jun 2025,06 Jun 2025,AMZN MKTP CA*NH3PH0XI2  WWW.AMAZON.CA,16.94,,,,,AMZN MKTP CA*NH3PH0XI2  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT251570006000010640657'
05 Jun 2025,06 Jun 2025,CUBE ULTIMATE CHALLENGE MISSISSAUGA,135.55,,,,,CUBE ULTIMATE CHALLENGE MISSISSAUGA,3185 UNITY DR,"MISSISSAUGA
ON",L5L 4L4,CANADA,'AT251570006000010602802'
04 Jun 2025,05 Jun 2025,AMZN MKTP CA*N624J6DJ1  WWW.AMAZON.CA,11.29,,,,,AMZN MKTP CA*N624J6DJ1  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT251560006000010613354'
04 Jun 2025,05 Jun 2025,AMZN MKTP CA*N692P1HB0  WWW.AMAZON.CA,22.59,,,,,AMZN MKTP CA*N692P1HB0  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT251560006000010617738'
04 Jun 2025,05 Jun 2025,FEDEX37470237           T1800 4633339,46.84,,,,,FEDEX37470237           T1800 4633339,5985 EXPLORER DR,"MISSISSAUGA
ON",L4W 5K6,CANADA,'AT251560006000010601095'
04 Jun 2025,05 Jun 2025,NEW WOK NEW WOK         TORONTO,18.65,,,,,NEW WOK NEW WOK         TORONTO,100 KING ST WEST,"TORONTO
ON",M5X 2A1,CANADA,'AT251560006000010608759'
04 Jun 2025,05 Jun 2025,TIM HORTONS #2614       TORONTO,2.40,,,,,TIM HORTONS #2614       TORONTO,145 KING ST WEST,"TORONTO
ON",M5H 1J8,CANADA,'AT251560006000010591349'
03 Jun 2025,04 Jun 2025,AMAZON.CA*N60WU91A0     AMAZON.CA,90.87,,,,,AMAZON.CA*N60WU91A0     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT251550006000010582095'
03 Jun 2025,04 Jun 2025,AMAZON.CA*N69AB7HT1     AMAZON.CA,123.16,,,,,AMAZON.CA*N69AB7HT1     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT251550006000010550118'
03 Jun 2025,04 Jun 2025,BELL CANADA (OB)        MONTREAL,176.22,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT251550006000010554367'
03 Jun 2025,03 Jun 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT251540006000010589097'
