Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Mar 2026,07 Mar 2026,MEMBERSHIP FEE INSTALLMENT,15.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999856980'
06 Mar 2026,06 Mar 2026,2403384 ONTARIO LIMITED CALEDON,13.21,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260650006000010650399'
06 Mar 2026,07 Mar 2026,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50,,,,,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT260660006000010739024'
06 Mar 2026,06 Mar 2026,RAKUTEN KOBO INC.       TORONTO,32.14,,,,,RAKUTEN KOBO INC.       TORONTO,"135 LIBERTY ST
SUITE 101","TORONTO
ON",M6K 1A7,CANADA,'AT260650006000010666938'
05 Mar 2026,06 Mar 2026,BELL CANADA (OB)        MONTREAL,211.25,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT260650006000010692905'
05 Mar 2026,06 Mar 2026,DOORDASHTHEPOKEBOX      DOWNTOWN TORONT,35.68,,,,,DOORDASHTHEPOKEBOX      DOWNTOWN TORONT,"1055 DUNSMUIR ST
SUITE 3000","VANCOUVER
BC",V7X 1K8,CANADA,'AT260650006000010670686'
05 Mar 2026,07 Mar 2026,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50,,,,,GOOGLE *CHATGPT         G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT260660006000010729618'
04 Mar 2026,05 Mar 2026,JIMMY THE GREEK #025 T  TORONTO,26.81,,,,,JIMMY THE GREEK #025 T  TORONTO,100 WELLINGTON ST,"TORONTO
ON",M5K 1J3,CANADA,'AT260640006000010686178'
03 Mar 2026,03 Mar 2026,CAMBRIDGE GROUP OF CL   416-363-9454,275.98,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT260620006000010669479'
03 Mar 2026,03 Mar 2026,KOHA KITCHEN            TORONTO,22.43,,,,,KOHA KITCHEN            TORONTO,100 WELLINGTON ST WEST,"TORONTO
ON",M5K 1E6,CANADA,'AT260620006000010634876'
02 Mar 2026,03 Mar 2026,DOORDASHCHIPOTLE        DOWNTOWN TORONT,24.52,,,,,DOORDASHCHIPOTLE        DOWNTOWN TORONT,"1055 DUNSMUIR ST
SUITE 3000","VANCOUVER
BC",V7X 1K8,CANADA,'AT260620006000010662876'
