Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Aug 2025,07 Aug 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876320'
06 Aug 2025,07 Aug 2025,SULTANS MEDITERRANEAN 0 TORONTO,25.99,,,,,SULTANS MEDITERRANEAN 0 TORONTO,120 BREMMER BLVD,"TORONTO
ON",M5J 0B1,CANADA,'AT252190006000010568713'
05 Aug 2025,05 Aug 2025,2163125 ONTARIO INC 411 TORONTO,11.52,,,,,2163125 ONTARIO INC 411 TORONTO,127 BREMNER BLVD,"TORONTO
ON",M5J 3A8,CANADA,'AT252170006000010625306'
05 Aug 2025,05 Aug 2025,CAMBRIDGE GROUP OF CL   416-363-9454,264.40,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT252170006000010599066'
05 Aug 2025,06 Aug 2025,HASTY MARKET 268        TORONTO,4.50,,,,,HASTY MARKET 268        TORONTO,129 BREMNER BLVD,"TORONTO
ON",M5J 3A7,CANADA,'AT252180006000010636351'
04 Aug 2025,04 Aug 2025,2233990 ONTARIO INC 154 MISSISSAUGA,13.21,,,,,2233990 ONTARIO INC 154 MISSISSAUGA,2- 33 UNIVERSITY AVE,"TORONTO
ON",M5J 2S7,CANADA,'AT252160006000010677638'
04 Aug 2025,05 Aug 2025,BELL CANADA (OB)        MONTREAL,194.30,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT252170006000010617382'
04 Aug 2025,05 Aug 2025,HASTY MARKET 268        TORONTO,2.99,,,,,HASTY MARKET 268        TORONTO,129 BREMNER BLVD,"TORONTO
ON",M5J 3A7,CANADA,'AT252170006000010616447'
04 Aug 2025,05 Aug 2025,RABBA FINE FOODS #171   TORONTO,3.38,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252170006000010591272'
04 Aug 2025,05 Aug 2025,TIM HORTONS #9337       TORONTO,2.93,,,,,TIM HORTONS #9337       TORONTO,40 UNIVERSITY AVE,"TORONTO
ON",M5J 1T1,CANADA,'AT252170006000010596144'
02 Aug 2025,03 Aug 2025,ESSO CIRCLE K 0302      TORONTO,0.12,,,,,ESSO CIRCLE K 0302      TORONTO,"95 FOUNDRY ST
STE 200","MONCTON
NB",E1C 5H7,CANADA,'AT252150006000010744939'
02 Aug 2025,03 Aug 2025,ESSO CIRCLE K 0302      TORONTO,65.78,,,,,ESSO CIRCLE K 0302      TORONTO,"95 FOUNDRY ST
STE 200","MONCTON
NB",E1C 5H7,CANADA,'AT252150006000010744940'
02 Aug 2025,03 Aug 2025,RABBA FINE FOODS #171   TORONTO,8.89,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252150006000010717152'
02 Aug 2025,03 Aug 2025,UNCLE TETSU CANADA 2080 TORONTO,7.80,,,,,UNCLE TETSU CANADA 2080 TORONTO,595 BAY ST,"TORONTO
ON",M5G 2C2,CANADA,'AT252150006000010704904'
01 Aug 2025,02 Aug 2025,HARVEST CLEAN EATS TORO TORONTO,20.89,,,,,HARVEST CLEAN EATS TORO TORONTO,65 FRONT ST WEST,"TORONTO
ON",M5J 1E6,CANADA,'AT252140006000010729953'
31 Jul 2025,01 Aug 2025,AMZN MKTP CA*CT4LA0MB3  WWW.AMAZON.CA,22.59,,,,,AMZN MKTP CA*CT4LA0MB3  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252130006000010644088'
31 Jul 2025,01 Aug 2025,HOMETOWN ROAD 001       TORONTO,22.94,,,,,HOMETOWN ROAD 001       TORONTO,66 WELLINGTON ST WEST,"TORONTO
ON",M5K 1A1,CANADA,'AT252130006000010698050'
31 Jul 2025,01 Aug 2025,TIM HORTONS #3143       TORONTO,10.48,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252130006000010693035'
30 Jul 2025,31 Jul 2025,HOLY COW STEAK HOUSE 00 TORONTO,20.78,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT252120006000010591463'
29 Jul 2025,30 Jul 2025,ADAFRUIT ELECTRONICS    BROOKLYN,828.29,586.04 USD,,1.41337,,ADAFRUIT ELECTRONICS    BROOKLYN,"168 39TH ST
STE 1905CC","BROOKLYN
NY",11232,UNITED STATES,'AT252110006000010588022'
29 Jul 2025,30 Jul 2025,DHL EXPRESS ADC QC      905-861-3540,30.84,,,,,DHL EXPRESS ADC QC      905-861-3540,18 PARKSHORE DR,"BRAMPTON
ON",L6T 5M1,CANADA,'AT252110006000010642741'
29 Jul 2025,30 Jul 2025,RABBA FINE FOODS #171   TORONTO,9.99,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252110006000010595023'
29 Jul 2025,30 Jul 2025,TIM HORTONS #3143       TORONTO,2.40,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252110006000010642208'
29 Jul 2025,30 Jul 2025,TST-JIMMY THE GREEK -   TORONTO,26.25,,,,,TST-JIMMY THE GREEK -   TORONTO,100 KING ST KING ST WEST,"TORONTO
ON",M5X 1E1,CANADA,'AT252110006000010624784'
28 Jul 2025,29 Jul 2025,ADAFRUIT ELECTRONICS    BROOKLYN,123.08,87.36 USD,,1.40888,,ADAFRUIT ELECTRONICS    BROOKLYN,"168 39TH ST
STE 1905CC","BROOKLYN
NY",11232,UNITED STATES,'AT252100006000010616011'
28 Jul 2025,29 Jul 2025,AMAZON.CA*5Y0NT1RE3     AMAZON.CA,40.66,,,,,AMAZON.CA*5Y0NT1RE3     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252100006000010624403'
28 Jul 2025,29 Jul 2025,AMAZON.CA*KS5H77OL3     AMAZON.CA,21.05,,,,,AMAZON.CA*KS5H77OL3     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252100006000010608888'
28 Jul 2025,29 Jul 2025,MUAY THAI SPORT BAR TOR TORONTO,29.33,,,,,MUAY THAI SPORT BAR TOR TORONTO,325 QUEEN ST WEST,"TORONTO
ON",M5V 2A4,CANADA,'AT252100006000010618844'
28 Jul 2025,28 Jul 2025,PAYMENT RECEIVED - THANK YOU,-1060.00,,,,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000010727999888230'
28 Jul 2025,29 Jul 2025,RABBA FINE FOODS #171   TORONTO,6.99,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252100006000010628972'
28 Jul 2025,29 Jul 2025,RABBA FINE FOODS #171   TORONTO,18.85,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252100006000010628974'
27 Jul 2025,29 Jul 2025,MCDONALD'S #40553       ANCASTER,13.64,,,,,MCDONALD'S #40553       ANCASTER,1175 WILSON ST WEST,"ANCASTER
ON",L9G 0E8,CANADA,'AT252100006000010600256'
27 Jul 2025,28 Jul 2025,RABBA FINE FOODS #171   TORONTO,13.48,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252090006000010615138'
27 Jul 2025,28 Jul 2025,TIM HORTONS #3143       TORONTO,2.40,,,,,TIM HORTONS #3143       TORONTO,148 SIMCOE ST,"TORONTO
ON",M5H 3G4,CANADA,'AT252090006000010615436'
26 Jul 2025,26 Jul 2025,AUDIBLE CA*7I5HF3PX3    AMZN.COM/BILL,10.49,,,,,AUDIBLE CA*7I5HF3PX3    AMZN.COM/BILL,1 WASHINGTON PARK STE 1600,"NEWARK
NJ",07102,UNITED STATES,'AT252070006000010699220'
25 Jul 2025,25 Jul 2025,2403384 ONTARIO LIMITED CALEDON,20.22,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT252060006000010621803'
25 Jul 2025,26 Jul 2025,DOORDASHYOUDONYA        DOWNTOWN TORONT,43.93,,,,,DOORDASHYOUDONYA        DOWNTOWN TORONT,"1055 DUNSMUIR ST
SUITE 3000","VANCOUVER
BC",V7X 1K8,CANADA,'AT252070006000010721313'
25 Jul 2025,26 Jul 2025,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68,,,,,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT252070006000010699746'
24 Jul 2025,25 Jul 2025,AMAZON.CA*292UP4KA3     AMAZON.CA,27.03,,,,,AMAZON.CA*292UP4KA3     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252060006000010658113'
24 Jul 2025,25 Jul 2025,AMAZON.CA*MQ1ET83V3     AMAZON.CA,9.01,,,,,AMAZON.CA*MQ1ET83V3     AMAZON.CA,"SUITE 2700
1133 MELVILLE STREET","VANCOUVER
BC",V6E 4E5,CANADA,'AT252060006000010644213'
24 Jul 2025,24 Jul 2025,AMZN MKTP CA*9N4CN0RS3  WWW.AMAZON.CA,72.31,,,,,AMZN MKTP CA*9N4CN0RS3  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252050006000010653645'
24 Jul 2025,24 Jul 2025,AMZN MKTP CA*IJ2ZJ7VN3  WWW.AMAZON.CA,29.37,,,,,AMZN MKTP CA*IJ2ZJ7VN3  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252050006000010650315'
24 Jul 2025,25 Jul 2025,AMZN MKTP CA*LS84L4AD3  WWW.AMAZON.CA,27.11,,,,,AMZN MKTP CA*LS84L4AD3  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252060006000010658121'
24 Jul 2025,25 Jul 2025,AMZN MKTP CA*XE45R7K93  WWW.AMAZON.CA,19.14,,,,,AMZN MKTP CA*XE45R7K93  WWW.AMAZON.CA,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252060006000010645641'
