Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 May 2026,07 May 2026,2403384 ONTARIO LIMITED CALEDON,11.58,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT261270006000010724719'
07 May 2026,07 May 2026,MEMBERSHIP FEE INSTALLMENT,15.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999857000'
06 May 2026,07 May 2026,BEST BUY #977 BBY STORE TORONTO,73.44,,,,,BEST BUY #977 BBY STORE TORONTO,65 DUNDAS ST WEST,"TORONTO
ON",M5G 2C3,CANADA,'AT261270006000010762826'
06 May 2026,07 May 2026,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50,,,,,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT261270006000010737054'
06 May 2026,07 May 2026,JIMMY THE GREEK #5 001  TORONTO,15.81,,,,,JIMMY THE GREEK #5 001  TORONTO,220 YONGE ST,"TORONTO
ON",M5B 2H1,CANADA,'AT261270006000010731622'
06 May 2026,07 May 2026,SUBWAY 30855 30855      ETOBICOKE,13.44,,,,,SUBWAY 30855 30855      ETOBICOKE,125 THE QUEENSWAY,"TORONTO
ON",M8Y 1H6,CANADA,'AT261270006000010770005'
05 May 2026,05 May 2026,2403384 ONTARIO LIMITED CALEDON,10.39,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT261250006000010724885'
05 May 2026,07 May 2026,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50,,,,,GOOGLE *CHATGPT         G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT261270006000010752683'
05 May 2026,05 May 2026,HI BOWL                 RICHMOND,53.12,,,,,HI BOWL                 RICHMOND,9 7988 ACKROYD RD,"RICHMOND
BC",V6X 0K6,CANADA,'AT261250006000010753861'
04 May 2026,04 May 2026,2403384 ONTARIO LIMITED CALEDON,10.39,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT261240006000010762413'
04 May 2026,05 May 2026,BELL CANADA (OB)        MONTREAL,211.25,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT261250006000010748004'
04 May 2026,04 May 2026,CAMBRIDGE GROUP OF CL   416-363-9454,275.98,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT261240006000010747353'
04 May 2026,05 May 2026,SHAWARMA WEST 001       TORONTO,20.33,,,,,SHAWARMA WEST 001       TORONTO,8 YORK ST,"TORONTO
ON",M5J 2Y2,CANADA,'AT261250006000010734248'
03 May 2026,04 May 2026,BINGZ CRISPY BURGER FVM TORONTO,17.48,,,,,BINGZ CRISPY BURGER FVM TORONTO,"1800 1102 SHEPPARD AVE
EAST","TORONTO
ON",M2J 5A7,CANADA,'AT261240006000010756730'
03 May 2026,04 May 2026,HAZUKIDO FAIRVIEW 00-08 NORTH YORK,6.38,,,,,HAZUKIDO FAIRVIEW 00-08 NORTH YORK,"1800 SHEPPARD AVE
EAST","NORTH YORK
ON",M2J 5A7,CANADA,'AT261240006000010768579'
03 May 2026,03 May 2026,MISFIT ICE CREAM        Toronto,8.48,,,,,MISFIT ICE CREAM        Toronto,"28 BATHURST ST
UNIT 5 108","TORONTO
ON",M5V 0C6,CANADA,'AT261230006000010890438'
03 May 2026,04 May 2026,MR LUBE - #40           TORONTO,355.85,,,,,MR LUBE - #40           TORONTO,61 OVERLEA BLVD,"TORONTO
ON",M4H 1C2,CANADA,'AT261240006000010777666'
02 May 2026,03 May 2026,*RFBT-TORONTO EATON CE  TORONTO,11.29,,,,,*RFBT-TORONTO EATON CE  TORONTO,220 YONGE ST,"TORONTO
ON",M5B 2H1,CANADA,'AT261230006000010888843'
02 May 2026,02 May 2026,2403384 ONTARIO LIMITED CALEDON,10.39,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT261220006000010906244'
02 May 2026,03 May 2026,MOGOUYAN HAND PULLED NO TORONTO,31.47,,,,,MOGOUYAN HAND PULLED NO TORONTO,760 YONGE ST,"TORONTO
ON",M4Y 2B6,CANADA,'AT261230006000010902676'
02 May 2026,04 May 2026,RABBA MARCHE #189       TORONTO,18.74,,,,,RABBA MARCHE #189       TORONTO,85 VICTORIA ST,"TORONTO
ON",M5C 2B1,CANADA,'AT261240006000010757816'
02 May 2026,02 May 2026,UNIQLO CANADA           TORONTO,56.67,,,,,UNIQLO CANADA           TORONTO,"220 YONGE ST
SUITE WEST LNM","TORONTO
ON",M5B 2H1,CANADA,'AT261220006000010906165'
01 May 2026,02 May 2026,CINEPLEX 7298           TORONTO,38.98,,,,,CINEPLEX 7298           TORONTO,"5095 YONGE ST 3RD
FLOOR","TORONTO
ON",M2N 6Z4,CANADA,'AT261220006000010909657'
01 May 2026,02 May 2026,FROG & FIRKIN TORONTO   TORONTO,18.19,,,,,FROG & FIRKIN TORONTO   TORONTO,4854 YONGE ST,"NORTH YORK
ON",M2N 5N2,CANADA,'AT261220006000010880300'
01 May 2026,01 May 2026,GOOGLE *CLOUD LJKGK9    G.CO/HELPPAY#,88.41,,,,,GOOGLE *CLOUD LJKGK9    G.CO/HELPPAY#,"1959 UPPER WATER ST
SUITE 900",NOVA SCOTIA,B3J 3N2,CANADA,'AT261210006000010804459'
01 May 2026,01 May 2026,INFLUXDATA              SAN FRANCISCO,184.23,131.36 USD,,1.40248,,INFLUXDATA              SAN FRANCISCO,548 MARKET ST,"SAN FRANCISCO
CA",94104,UNITED STATES,'AT261210006000010807071'
01 May 2026,02 May 2026,LUCULLUS BAKERY 001     NORTH YORK,12.60,,,,,LUCULLUS BAKERY 001     NORTH YORK,101 5200 YONGE ST,"NORTH YORK
ON",M2N 5P6,CANADA,'AT261220006000010866831'
30 Apr 2026,30 Apr 2026,2403384 ONTARIO LIMITED CALEDON,11.07,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT261200006000010773589'
30 Apr 2026,01 May 2026,JIMMY THE GREEK #5 001  TORONTO,23.99,,,,,JIMMY THE GREEK #5 001  TORONTO,220 YONGE ST,"TORONTO
ON",M5B 2H1,CANADA,'AT261210006000010839479'
30 Apr 2026,01 May 2026,REXALL PHARMACY #8141 T TORONTO,-74.99,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT261210006000010842797'
30 Apr 2026,01 May 2026,REXALL PHARMACY #8141 T TORONTO,74.99,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT261210006000010842796'
30 Apr 2026,02 May 2026,SHOPPERS DRUG MART #141 TORONTO,99.99,,,,,SHOPPERS DRUG MART #141 TORONTO,260 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT261220006000010864514'
29 Apr 2026,29 Apr 2026,2403384 ONTARIO LIMITED CALEDON,10.39,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT261190006000010705136'
29 Apr 2026,30 Apr 2026,LONGO'S # 24 TORONTO    TORONTO,5.64,,,,,LONGO'S # 24 TORONTO    TORONTO,15 YORK ST,"TORONTO
ON",M5J 0A3,CANADA,'AT261200006000010760807'
29 Apr 2026,30 Apr 2026,SHAWARMA WEST 001       TORONTO,21.46,,,,,SHAWARMA WEST 001       TORONTO,8 YORK ST,"TORONTO
ON",M5J 2Y2,CANADA,'AT261200006000010780231'
28 Apr 2026,28 Apr 2026,2403384 ONTARIO LIMITED CALEDON,10.39,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT261180006000010728156'
